Kode Saham,Return,Utang,Likuiditas,Net Margin,Gross Margin
AALI,50.58,47.69,62.12,55.96,36.73
ABBA,0.58,98.46,25.77,7.88,61.54
ABMM,96.35,88.85,35.58,85.96,55.38
ACES,74.42,45.96,94.42,70.38,80.77
ACST,2.12,43.46,36.35,10.19,3.27
ADCP,49.81,66.92,49.23,83.65,55.77
ADES,90.19,24.62,87.12,91.15,84.81
ADHI,44.81,89.23,41.73,40.0,32.69
ADMF,83.85,90.19,74.81,90.38,89.23
ADMR,96.92,64.42,87.5,97.31,85.58
ADRO,90.96,50.77,68.27,90.19,71.35
AGII,25.48,13.65,8.08,26.44,11.54
AISA,42.31,53.46,30.0,40.38,65.77
AKPI,14.04,76.35,42.69,16.15,27.12
AKRA,92.31,63.27,53.85,60.58,31.35
ALDO,35.58,78.08,46.92,35.38,37.88
ALII,25.48,13.65,8.08,26.44,11.54
ALMI,3.08,69.42,32.69,8.27,1.35
AMAN,60.38,50.96,74.04,94.04,94.62
AMFG,76.73,64.62,53.65,69.81,53.46
AMMN,54.42,77.12,82.12,75.96,77.5
AMOR,95.58,36.92,92.69,93.46,84.23
AMRT,90.58,45.58,36.92,49.81,49.42
ANDI,4.62,81.35,26.35,6.92,19.42
ANJT,37.5,60.77,38.65,40.77,36.54
ANTM,68.65,41.35,73.85,63.27,39.23
APEX,13.65,92.88,89.04,14.42,62.88
APIC,49.42,75.19,79.04,55.77,26.35
APLN,68.85,76.54,47.5,88.27,75.77
ARCI,54.62,91.35,30.19,59.62,59.23
ARGO,5.0,97.88,22.31,5.96,34.04
ARII,14.81,90.38,28.85,17.31,29.42
ARKA,66.54,93.46,59.62,58.27,41.73
ARKO,66.15,87.5,71.54,87.88,74.23
ARMY,25.48,13.65,8.08,26.44,11.54
ARNA,91.73,40.96,74.62,84.42,69.42
ARTI,25.48,13.65,8.08,26.44,11.54
ASGR,60.77,30.77,77.12,55.0,49.62
ASII,82.69,67.5,48.46,72.12,50.77
ASLC,25.48,13.65,8.08,26.44,11.54
ASRI,55.0,71.92,30.77,81.92,86.54
ASSA,25.48,13.65,8.08,26.44,11.54
ATIC,99.23,99.42,40.0,45.96,33.27
ATLA,25.48,13.65,8.08,26.44,11.54
AUTO,77.31,33.65,62.31,70.0,40.77
AVIA,81.92,27.5,94.62,88.85,78.27
BAJA,15.19,69.23,64.23,18.08,20.19
BALI,55.77,83.85,21.15,80.96,87.5
BAPA,13.08,31.73,78.08,5.38,60.19
BATA,25.48,13.65,8.08,26.44,11.54
BBLD,59.23,96.54,99.04,81.54,68.65
BCAP,38.27,61.15,92.88,44.23,89.04
BCIP,47.12,36.54,88.85,83.27,84.42
BDKR,25.48,13.65,8.08,26.44,11.54
BEBS,53.85,13.65,25.58,72.88,44.62
BEEF,96.54,29.04,23.46,68.46,43.08
BELI,2.69,53.85,54.23,7.5,40.38
BEST,38.46,59.62,96.54,62.69,94.04
BFIN,83.65,89.42,99.23,92.12,95.19
BHAT,37.31,66.35,61.15,46.92,1.92
BHIT,41.73,76.15,44.42,44.42,72.31
BIPI,25.48,13.65,8.08,26.44,11.54
BIPP,9.62,79.23,67.5,8.65,75.96
BIRD,62.12,48.46,59.04,71.54,63.65
BISI,83.46,23.65,94.23,90.96,82.88
BKDP,8.08,13.65,23.08,2.69,1.15
BKSL,43.85,47.5,42.5,85.77,77.31
BLTA,93.27,55.58,75.77,96.73,67.88
BLTZ,12.31,96.73,20.58,15.77,75.19
BMHS,40.96,76.73,55.77,42.88,79.04
BMSR,88.65,59.81,64.04,53.85,26.73
BMTR,25.48,13.65,8.08,26.44,11.54
BNBR,71.15,83.46,36.15,60.19,51.35
BOGA,40.58,70.0,89.23,38.65,25.58
BOLA,16.35,33.85,95.19,16.54,75.0
BOLT,25.48,13.65,8.08,26.44,11.54
BOSS,25.48,13.65,8.08,26.44,11.54
BPII,63.85,78.85,45.19,74.23,87.12
BRAM,58.46,34.42,69.04,60.0,38.85
BRMS,25.48,13.65,8.08,26.44,11.54
BRNA,25.48,13.65,8.08,26.44,11.54
BRPT,40.77,95.0,81.35,39.04,47.12
BSBK,44.23,53.08,68.08,74.04,92.69
BSDE,53.46,59.23,75.38,83.08,87.69
BSSR,97.69,31.54,51.73,79.23,62.69
BTEK,7.5,94.23,18.85,4.42,2.12
BTEL,25.48,13.65,8.08,26.44,11.54
BUAH,89.23,30.58,68.85,45.38,28.08
BUDI,57.5,81.73,50.77,47.5,34.62
BUKA,9.81,26.35,98.65,6.54,51.73
BUKK,80.58,70.19,37.12,78.27,45.19
BULL,85.96,85.38,28.65,85.19,76.35
BUMI,39.23,49.81,31.54,39.42,26.92
BUVA,47.31,75.0,32.12,69.04,97.88
BWPT,61.54,94.62,22.69,52.12,52.88
BYAN,97.5,50.58,52.5,95.19,78.65
CARE,11.54,57.5,33.27,4.62,69.23
CARS,94.23,96.92,31.35,48.27,33.65
CASS,94.42,44.04,49.42,68.85,53.08
CBUT,81.54,97.12,54.42,41.54,35.58
CENT,25.48,13.65,8.08,26.44,11.54
CFIN,79.42,78.46,90.38,98.27,96.15
CGAS,25.48,13.65,8.08,26.44,11.54
CHIP,87.88,52.31,76.73,50.77,29.23
CITA,75.58,34.81,72.31,87.69,67.69
CITY,34.81,24.23,8.08,45.77,87.31
CLAY,99.42,99.81,18.46,49.04,81.73
CLEO,88.27,60.96,43.27,79.62,88.27
CLPI,67.5,44.62,81.15,60.38,36.92
CMNP,65.96,67.69,22.88,78.08,52.5
CMNT,48.85,95.58,25.19,42.69,54.62
CMPP,25.48,13.65,8.08,26.44,11.54
CMRY,88.46,13.65,88.08,81.73,74.42
CNKO,46.92,3.27,20.0,14.04,32.5
CNMA,79.04,60.38,87.88,77.69,91.54
CPIN,64.42,60.58,57.5,50.96,37.12
CPRO,73.27,74.23,40.19,53.08,45.0
CSAP,54.23,87.31,39.42,40.58,39.81
CSMI,3.85,87.69,17.5,3.85,91.92
CTBN,84.42,28.46,70.19,67.5,47.31
CTRA,66.73,62.88,75.0,86.54,81.54
CTTH,10.19,90.77,78.27,10.38,67.31
CUAN,78.27,75.96,83.08,81.35,86.35
CYBR,25.48,13.65,8.08,26.44,11.54
DART,25.48,13.65,8.08,26.44,11.54
DCII,91.92,70.58,49.62,96.35,90.38
DEAL,25.48,13.65,8.08,26.44,11.54
DEPO,25.48,13.65,8.08,26.44,11.54
DEWA,39.42,48.65,28.27,36.73,24.42
DFAM,3.27,97.31,51.35,7.69,85.96
DGIK,48.27,38.46,56.15,57.5,43.65
DILD,45.96,81.92,41.35,53.27,72.69
DIVA,0.96,41.15,93.46,6.15,21.73
DKFT,69.04,88.65,35.19,64.04,76.73
DMAS,87.69,24.04,93.08,99.23,96.54
DMMX,3.65,35.0,75.96,9.62,22.69
DMND,25.48,13.65,8.08,26.44,11.54
